batch,wafer_id,die_x,die_y,rc_mohm
w32,w32-03,1,2,39.8
w32,w32-03,1,3,37.8
w32,w32-03,1,4,40.1
w32,w32-03,1,5,43.8
w32,w32-03,1,6,41.6
w32,w32-03,1,7,44.4
w32,w32-03,1,8,38.6
w32,w32-03,1,9,42.8
w32,w32-03,2,0,38.5
w32,w32-03,2,1,39.6
w32,w32-03,2,2,38.8
w32,w32-03,2,3,42.1
w32,w32-03,2,4,41.7
w32,w32-03,2,5,40.7
w32,w32-03,2,6,39.2
w32,w32-03,2,7,40.6
w32,w32-03,2,8,39.3
w32,w32-03,2,9,38.3
w32,w32-03,3,0,39.2
w32,w32-03,3,1,41.0
w32,w32-03,3,2,41.1
w32,w32-03,3,3,41.9
w32,w32-03,3,4,41.8
w32,w32-03,3,5,42.4
w32,w32-03,3,6,39.4
w32,w32-03,3,7,39.2
w32,w32-03,3,8,40.3
w32,w32-03,3,9,42.1
w32,w32-03,4,0,39.7
w32,w32-03,4,1,40.9
w32,w32-03,4,2,36.9
w32,w32-03,4,3,37.4
w32,w32-03,4,4,42.2
w32,w32-03,4,5,41.8
w32,w32-03,4,6,44.4
w32,w32-03,4,7,42.1
w32,w32-03,4,8,39.4
w32,w32-03,4,9,40.7
w32,w32-03,5,0,40.4
w32,w32-03,5,1,41.4
w32,w32-03,5,2,38.2
w32,w32-03,5,3,41.3
w32,w32-03,5,4,42.0
w32,w32-03,5,5,39.1
w32,w32-03,5,6,43.7
w32,w32-03,5,7,39.8
w32,w32-03,5,8,39.5
w32,w32-03,5,9,40.0
w32,w32-03,6,0,44.3
w32,w32-03,6,1,40.1
w32,w32-03,6,2,39.7
w32,w32-03,6,3,37.6
w32,w32-03,6,4,39.8
w32,w32-03,6,5,43.3
w32,w32-03,6,6,40.7
w32,w32-03,6,7,41.6
w32,w32-03,6,8,39.4
w32,w32-03,6,9,37.2
w32,w32-03,7,0,39.2
w32,w32-03,7,1,38.5
w32,w32-03,7,2,40.2
w32,w32-03,7,3,37.9
w32,w32-03,7,4,40.1
w32,w32-03,7,5,40.4
w32,w32-03,7,6,35.9
w32,w32-03,7,7,40.3
w32,w32-03,7,8,40.0
w32,w32-03,7,9,43.2
w32,w32-03,8,0,41.9
w32,w32-03,8,1,39.6
w32,w32-03,8,2,43.4
w32,w32-03,8,3,38.5
w32,w32-03,8,4,44.6
w32,w32-03,8,5,38.4
w32,w32-03,8,6,40.0
w32,w32-03,8,7,36.8
w32,w32-03,8,8,38.2
w32,w32-03,8,9,40.1
w32,w32-03,9,0,41.6
w32,w32-03,9,1,39.2
w32,w32-03,9,2,38.1
w32,w32-03,9,3,39.0
w32,w32-03,9,4,38.6
w32,w32-03,9,5,40.4
w32,w32-03,9,6,41.5
w32,w32-03,9,7,39.5
w32,w32-03,9,8,36.3
w32,w32-03,9,9,38.3
